ridership,route_id,route_name,route_type,service_period,day
221,201,201-SOUTHPARK MEADOWS,Feeder,Summer 2012,weekday
303,201,201-SOUTHPARK MEADOWS,Feeder,Fall 2012,weekday
299,201,201-SOUTHPARK MEADOWS,Feeder,Spring 2013,weekday
233,201,201-SOUTHPARK MEADOWS,Feeder,Summer 2013,weekday
292,201,201-SOUTHPARK MEADOWS,Feeder,Fall 2013,weekday
391,201,201-SOUTHPARK MEADOWS,Feeder,Spring 2014,weekday
454,201,201-SOUTHPARK MEADOWS,Feeder,Summer 2014,weekday
504,201,201-SOUTHPARK MEADOWS,Feeder,Fall 2014,weekday
513,201,201-SOUTHPARK MEADOWS,Feeder,Spring 2015,weekday
378,201,201-SOUTHPARK MEADOWS,Feeder,Summer 2015,weekday
109,214,214-LAGO VISTA FLEX,Feeder,Spring 2012,weekday
97,214,214-LAGO VISTA FLEX,Feeder,Summer 2012,weekday
131,214,214-LAGO VISTA FLEX,Feeder,Fall 2012,weekday
131,214,214-LAGO VISTA FLEX,Feeder,Spring 2013,weekday
107,214,214-LAGO VISTA FLEX,Feeder,Summer 2013,weekday
136,214,214-LAGO VISTA FLEX,Feeder,Fall 2013,weekday
114,214,214-LAGO VISTA FLEX,Feeder,Spring 2014,weekday
97,214,214-LAGO VISTA FLEX,Feeder,Summer 2014,weekday
116,214,214-LAGO VISTA FLEX,Feeder,Fall 2014,weekday
102,214,214-LAGO VISTA FLEX,Feeder,Spring 2015,weekday
75,214,214-LAGO VISTA FLEX,Feeder,Summer 2015,weekday
289,228,228-BURLESON,Feeder,Spring 2012,weekday
369,228,228-BURLESON,Feeder,Summer 2012,weekday
394,228,228-BURLESON,Feeder,Fall 2012,weekday
308,228,228-BURLESON,Feeder,Spring 2013,weekday
373,228,228-BURLESON,Feeder,Summer 2013,weekday
395,228,228-BURLESON,Feeder,Fall 2013,weekday
470,228,228-BURLESON,Feeder,Spring 2014,weekday
537,228,228-BURLESON,Feeder,Summer 2014,weekday
544,228,228-BURLESON,Feeder,Fall 2014,weekday
496,228,228-BURLESON,Feeder,Spring 2015,weekday
506,228,228-BURLESON,Feeder,Summer 2015,weekday
,237,237-NORTHEAST FLEX,Feeder,Spring 2012,weekday
,237,237-NORTHEAST FLEX,Feeder,Summer 2012,weekday
,237,237-NORTHEAST FLEX,Feeder,Fall 2012,weekday
,237,237-NORTHEAST FLEX,Feeder,Spring 2013,weekday
,237,237-NORTHEAST FLEX,Feeder,Summer 2013,weekday
,237,237-NORTHEAST FLEX,Feeder,Fall 2013,weekday
,237,237-NORTHEAST FLEX,Feeder,Spring 2014,weekday
,237,237-NORTHEAST FLEX,Feeder,Summer 2014,weekday
,237,237-NORTHEAST FLEX,Feeder,Fall 2014,weekday
,237,237-NORTHEAST FLEX,Feeder,Spring 2015,weekday
23.0,237,237-NORTHEAST FLEX,Feeder,Summer 2015,weekday
,238,238-WESTGATE,Feeder,Spring 2012,weekday
,238,238-WESTGATE,Feeder,Summer 2012,weekday
,238,238-WESTGATE,Feeder,Fall 2012,weekday
282.0,238,238-WESTGATE,Feeder,Spring 2013,weekday
267.0,238,238-WESTGATE,Feeder,Summer 2013,weekday
