ridership,route_id,route_name,route_type,service_period,day
16.5,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Spring 2015,weekday
16.2,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Summer 2015,weekday
,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Spring 2012,weekday
,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Summer 2012,weekday
,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Fall 2012,weekday
,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Spring 2013,weekday
16.9,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Summer 2013,weekday
17.4,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Fall 2013,weekday
18.9,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Spring 2014,weekday
19.3,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Summer 2014,weekday
20.1,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Fall 2014,weekday
16.3,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Spring 2015,weekday
14.6,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Summer 2015,weekday
5.3,122,122-FOUR POINTS LIMITED,Limited/Flyer,Spring 2012,weekday
5.3,122,122-FOUR POINTS LIMITED,Limited/Flyer,Summer 2012,weekday
5.3,122,122-FOUR POINTS LIMITED,Limited/Flyer,Fall 2012,weekday
5.3,122,122-FOUR POINTS LIMITED,Limited/Flyer,Spring 2013,weekday
4.8,122,122-FOUR POINTS LIMITED,Limited/Flyer,Summer 2013,weekday
5.7,122,122-FOUR POINTS LIMITED,Limited/Flyer,Fall 2013,weekday
7.3,122,122-FOUR POINTS LIMITED,Limited/Flyer,Spring 2014,weekday
6.7,122,122-FOUR POINTS LIMITED,Limited/Flyer,Summer 2014,weekday
5.4,122,122-FOUR POINTS LIMITED,Limited/Flyer,Fall 2014,weekday
4.8,122,122-FOUR POINTS LIMITED,Limited/Flyer,Spring 2015,weekday
3.8,122,122-FOUR POINTS LIMITED,Limited/Flyer,Summer 2015,weekday
16.5,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Spring 2012,weekday
18.5,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Summer 2012,weekday
29.3,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Fall 2012,weekday
30.0,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Spring 2013,weekday
23.8,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Summer 2013,weekday
21.0,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Fall 2013,weekday
18.2,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Spring 2014,weekday
25.0,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Summer 2014,weekday
15.3,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Fall 2014,weekday
12.3,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Spring 2015,weekday
12.7,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Summer 2015,weekday
4.9,135,135-DELL LIMITED,Limited/Flyer,Spring 2012,weekday
4.9,135,135-DELL LIMITED,Limited/Flyer,Summer 2012,weekday
4.9,135,135-DELL LIMITED,Limited/Flyer,Fall 2012,weekday
4.9,135,135-DELL LIMITED,Limited/Flyer,Spring 2013,weekday
5.2,135,135-DELL LIMITED,Limited/Flyer,Summer 2013,weekday
5.4,135,135-DELL LIMITED,Limited/Flyer,Fall 2013,weekday
5.0,135,135-DELL LIMITED,Limited/Flyer,Spring 2014,weekday
3.7,135,135-DELL LIMITED,Limited/Flyer,Summer 2014,weekday
7.6,135,135-DELL LIMITED,Limited/Flyer,Fall 2014,weekday
4.5,135,135-DELL LIMITED,Limited/Flyer,Spring 2015,weekday
6.5,135,135-DELL LIMITED,Limited/Flyer,Summer 2015,weekday
27.6,142,142-METRIC FLYER,Limited/Flyer,Spring 2012,weekday
18.6,142,142-METRIC FLYER,Limited/Flyer,Summer 2012,weekday
27.0,142,142-METRIC FLYER,Limited/Flyer,Fall 2012,weekday
20.5,142,142-METRIC FLYER,Limited/Flyer,Spring 2013,weekday
17.8,142,142-METRIC FLYER,Limited/Flyer,Summer 2013,weekday
27.4,142,142-METRIC FLYER,Limited/Flyer,Fall 2013,weekday
19.6,142,142-METRIC FLYER,Limited/Flyer,Spring 2014,weekday
16.0,142,142-METRIC FLYER,Limited/Flyer,Summer 2014,weekday
11.0,142,142-METRIC FLYER,Limited/Flyer,Fall 2014,weekday
10.2,142,142-METRIC FLYER,Limited/Flyer,Spring 2015,weekday
11.7,142,142-METRIC FLYER,Limited/Flyer,Summer 2015,weekday
18.8,171,171-OAK HILL FLYER,Limited/Flyer,Spring 2012,weekday
17.6,171,171-OAK HILL FLYER,Limited/Flyer,Summer 2012,weekday
19.5,171,171-OAK HILL FLYER,Limited/Flyer,Fall 2012,weekday
20.4,171,171-OAK HILL FLYER,Limited/Flyer,Spring 2013,weekday
19.7,171,171-OAK HILL FLYER,Limited/Flyer,Summer 2013,weekday
17.1,171,171-OAK HILL FLYER,Limited/Flyer,Fall 2013,weekday
13.5,171,171-OAK HILL FLYER,Limited/Flyer,Spring 2014,weekday
12.4,171,171-OAK HILL FLYER,Limited/Flyer,Summer 2014,weekday
11.9,171,171-OAK HILL FLYER,Limited/Flyer,Fall 2014,weekday
12.8,171,171-OAK HILL FLYER,Limited/Flyer,Spring 2015,weekday
11.7,171,171-OAK HILL FLYER,Limited/Flyer,Summer 2015,weekday
20.5,201,201-SOUTHPARK MEADOWS,Feeder,Spring 2012,weekday
14.7,201,201-SOUTHPARK MEADOWS,Feeder,Summer 2012,weekday
20.2,201,201-SOUTHPARK MEADOWS,Feeder,Fall 2012,weekday
19.9,201,201-SOUTHPARK MEADOWS,Feeder,Spring 2013,weekday
15.5,201,201-SOUTHPARK MEADOWS,Feeder,Summer 2013,weekday
19.5,201,201-SOUTHPARK MEADOWS,Feeder,Fall 2013,weekday
26.0,201,201-SOUTHPARK MEADOWS,Feeder,Spring 2014,weekday
16.3,201,201-SOUTHPARK MEADOWS,Feeder,Summer 2014,weekday
18.1,201,201-SOUTHPARK MEADOWS,Feeder,Fall 2014,weekday
18.5,201,201-SOUTHPARK MEADOWS,Feeder,Spring 2015,weekday
13.6,201,201-SOUTHPARK MEADOWS,Feeder,Summer 2015,weekday
3.6,214,214-LAGO VISTA FLEX,Feeder,Spring 2012,weekday
3.3,214,214-LAGO VISTA FLEX,Feeder,Summer 2012,weekday
4.4,214,214-LAGO VISTA FLEX,Feeder,Fall 2012,weekday
4.4,214,214-LAGO VISTA FLEX,Feeder,Spring 2013,weekday
3.6,214,214-LAGO VISTA FLEX,Feeder,Summer 2013,weekday
4.5,214,214-LAGO VISTA FLEX,Feeder,Fall 2013,weekday
3.8,214,214-LAGO VISTA FLEX,Feeder,Spring 2014,weekday
3.2,214,214-LAGO VISTA FLEX,Feeder,Summer 2014,weekday
3.9,214,214-LAGO VISTA FLEX,Feeder,Fall 2014,weekday
3.4,214,214-LAGO VISTA FLEX,Feeder,Spring 2015,weekday
2.5,214,214-LAGO VISTA FLEX,Feeder,Summer 2015,weekday
